Day,Class_Name,Time
Monday,EEN-112,09:00 AM-10:00 AM
Monday,MTN 203,10:00 AM-11:00 AM
Monday,MTN-201: Transport Phenomena,11:00 AM-12:00 PM
Tuesday,EEN-112,09:00 AM-10:00 AM
Tuesday,MTN-205,10:00 AM-11:00 AM
Tuesday,MTN-207 Electrical and Electronic Materials,11:00 AM-12:00 PM
Wednesday,MTN 203,10:00 AM-11:00 AM
Wednesday,MTN-201: Transport Phenomena,11:00 AM-12:00 PM
Wednesday,MTN-207 Electrical and Electronic Materials,12:00 PM-01:00PM
Thursday,EEN-112,09:00 AM-10:00 AM
Thursday,MTN-205,04:00 PM-05:00 PM
Friday,MTN-201: Transport Phenomena,11:00 AM-12:00 PM
Friday,MTN-207 Electrical and Electronic Materials,12:00 PM-01:00PM
Friday,MTN-207 Sub Batch M3,04:00 PM-05:00 PM
